"응답 수","AI빅데이터융합경영학과에 입학에 대한 만족도를 답해주세요.","고등학교 교과과정 기준으로 당신이 이수한 교육과정은 아래 중 무엇입니까? ","당신의 현재 거주 형태는 무엇입니까?","당신의 형제자매 관계는 어떻습니까?","당신이 주로 플레이 하는 게임 플랫폼은 무엇입니까?","당신의핸드폰 기종은 무엇입니까?","당신의 평균 수면시간은 하루 몇시간입니까?","당신의 평균 운동횟수는 주 몇번입니까?","당신은 현재 흡연자 입니까? (현재흡연자란 현재 ‘매일’ 또는 ‘가끔’ 흡연하고 있는 사람을 말함)","당신의 흡연 시작 시기는 언제입니까?","당신의 1일 평균 흡연량은 몇 개피 입니까?","당신의 종교는 무엇입니까?","당신이선호하는 음악 장르는 무엇입니까?","당신의 SNS 사용 시간은 하루 평균 몇 시간입니까? (유튜브/인스타 릴스 포함)","당신의 인스타 스토리 업로드 빈도는 하루 평균 몇 번입니까?","당신이 시청하기 좋아하는 스포츠는 무엇입니까?","지금까지 당신의 연애횟수는 몇 번입니까?","당신이 좋아하는 아이돌이 있다면 누구입니까?","당신의 mbti는 무엇입니까? (E/I)","당신의 mbti는 무엇입니까? (S/N)","당신의 mbti는 무엇입니까? (F/T)","당신의 mbti는 무엇입니까? (J/P)","당신이 좋아하는 숫자는 무엇입니까?","당신의 별자리는 무엇입니까?","당신의 주 사용 손은 어느 쪽입니까?","당신의 민트초코 선호 여부는 어느 쪽입니까?","당신의 파인애플 피자 선호여부는 어느 쪽입니까?","붕어빵 팥붕 vs 슈붕 선호하는 쪽은 무엇입니까?","탕수육 찍먹 vs 부먹 선호하는 쪽은 무엇입니까?","당신의 생물학적 성별은 무엇입니까?","당신의 나이는 몇 세입니까? (만 나이)","당신의 출생 월은 무엇입니다?","당신의 출신 지역은 어디입니까? (졸업 고등학교 소재지 기준, 시/도 단위)"
50,만족,자연계열,"가족과 동거","형/오빠
여동생",PC,아이폰,6,3,아니오,고등학교,0,무교,"발라드
R&amp;amp;B/소울",6,2,"야구
축구
농구",4,지수,I,S,F,P,10,쌍둥이자리,오른손,호,호,슈붕,찍먹,남성,18,5,서울특별시/경기도/인천광역시
51,"매우 만족",인문계열,기숙사,남동생,안함,아이폰,7,5,아니오,"흡연 경험 없음",0,천주교,"랩/힙합
발라드",3,1,"야구
축구",3,뉴진스,I,N,F,P,7,물병자리,왼손,불호,불호,슈붕,찍먹,남성,19,2,경상남/북도/부산광역시/대구광역시/울산광역시
52,보통,자연계열,"1인 자취",언니/누나,PC,아이폰,7,1,예,고등학교,10,무교,발라드,5,1,"야구
축구
농구",5,없음,E,S,T,P,10,처녀자리,오른손,호,불호,슈붕,부먹,남성,18,6,경상남/북도/부산광역시/대구광역시/울산광역시
53,만족,자연계열,"1인 자취","형/오빠
남동생",안함,아이폰,6,4,아니오,"흡연 경험 없음",0,무교,"락
R&amp;amp;B/소울
클래식
재즈",0.5,0,"스포츠 시청 안함",1,뉴진스,I,N,T,P,128,물병자리,오른손,불호,불호,슈붕,찍먹,남성,20,1,서울특별시/경기도/인천광역시
54,만족,자연계열,기숙사,"남동생
여동생",PC,안드로이드,8,4,아니오,"흡연 경험 없음",0,무교,랩/힙합,3,0,"축구
농구
미식추구
e-스포츠",0,없음,I,S,T,P,7,게자리,오른손,불호,불호,팥붕,찍먹,남성,18,7,경상남/북도/부산광역시/대구광역시/울산광역시
55,만족,인문계열,기숙사,형/오빠,PC,안드로이드,6,6,아니오,"흡연 경험 없음",0,무교,"댄스
발라드",3,1,"야구
축구",1,에스파,I,S,T,J,29,양자리,오른손,호,호,팥붕,찍먹,남성,18,4,경상남/북도/부산광역시/대구광역시/울산광역시
56,만족,자연계열,"가족과 동거",남동생,안함,안드로이드,7,3,아니오,"흡연 경험 없음",0,천주교,발라드,4,2,"야구
축구",97,없다,E,S,F,J,2,궁수자리,오른손,불호,호,팥붕,찍먹,남성,19,12,서울특별시/경기도/인천광역시
57,만족,자연계열,기숙사,형/오빠,안함,아이폰,7,0,아니오,"흡연 경험 없음",0,기독교,댄스,7,1,"스포츠 시청 안함",3,성찬,I,S,T,P,17,전갈자리,왼손,불호,호,팥붕,찍먹,여성,18,11,충청남/북도/세종특별자치시/대전광역시
58,"매우 만족",자연계열,"가족과 동거",언니/누나,PC,아이폰,6,4,아니오,"흡연 경험 없음",0,천주교,"랩/힙합
R&amp;amp;B/소울
재즈",3,1,"축구
e-스포츠",0,뉴진스,I,N,F,P,9,물고기자리,오른손,불호,호,슈붕,부먹,남성,19,2,서울특별시/경기도/인천광역시
59,"매우 만족",인문계열,기숙사,남동생,PC,아이폰,8,5,예,성인,1,무교,랩/힙합,5,0,e-스포츠,0,아이브,I,S,F,P,8,천칭자리,오른손,호,호,슈붕,부먹,남성,18,10,충청남/북도/세종특별자치시/대전광역시
60,만족,자연계열,"가족과 동거",언니/누나,안함,아이폰,5,0,아니오,"흡연 경험 없음",0,기독교,"댄스
발라드
R&amp;amp;B/소울",6,0,"스포츠 시청 안함",0,X,I,S,F,P,8,처녀자리,오른손,불호,불호,팥붕,찍먹,여성,18,8,서울특별시/경기도/인천광역시
61,"매우 불만족",자연계열,"가족과 동거",외동,PC,아이폰,8,3,예,성인,6,무교,"랩/힙합
발라드",3,0,농구,4,"위너 , 빅뱅 , 비투비 , 엔플라잉",I,S,F,J,7,사자자리,오른손,호,불호,슈붕,찍먹,남성,21,7,서울특별시/경기도/인천광역시
62,만족,자연계열,기숙사,"언니/누나
형/오빠
남동생",PC,안드로이드,6,0,아니오,"흡연 경험 없음",0,무교,R&amp;amp;B/소울,2,0,"스포츠 시청 안함",0,.,I,S,T,P,1,처녀자리,오른손,불호,불호,팥붕,찍먹,여성,18,9,전라남/북도/광주광역시
63,"매우 만족",인문계열,기숙사,형/오빠,PC,안드로이드,7,0,아니오,"흡연 경험 없음",0,불교,댄스,3,3,e-스포츠,5,Bts,E,N,T,P,4,물병자리,오른손,불호,호,팥붕,부먹,여성,19,2,충청남/북도/세종특별자치시/대전광역시
64,"매우 만족",자연계열,하숙,여동생,모바일,아이폰,7,1,아니오,"흡연 경험 없음",0,기독교,댄스,4,1,축구,1,라이즈,I,S,T,P,3,염소자리,오른손,불호,호,슈붕,부먹,여성,19,1,충청남/북도/세종특별자치시/대전광역시
65,보통,자연계열,기숙사,언니/누나,안함,아이폰,7,1,아니오,"흡연 경험 없음",0,천주교,"댄스
R&amp;amp;B/소울",2,1,"축구
배구",1,"Nct dream",I,N,F,J,11,물고기자리,오른손,호,호,팥붕,찍먹,여성,19,3,전라남/북도/광주광역시
66,만족,인문계열,"가족과 동거",언니/누나,모바일,안드로이드,6,0,아니오,"흡연 경험 없음",0,무교,"댄스
R&amp;amp;B/소울",5,0.3,야구,0,없음,I,S,T,P,2,천칭자리,오른손,호,호,팥붕,부먹,여성,19,10,서울특별시/경기도/인천광역시
